anno_festival,decennio_num,decennio,canzone,interprete,autori,posizione,posizione_numerica,fascia_posizione,categoria_risultato,periodo,sede,presentatore,partecipanti,vincitore,artista_spotify,anno_ultimo_rilascio,durata_min,popolarita,fascia_popolarita,url_album,anni_tra_festival_e_rilascio,anni_dal_festival,canzone_storica,ristampa_tardiva,rilascio_recente_2015,qualita_abbinamento,includi_analisi_spotify,record_canzone_unico
1951,1950,Anni 1950,Notte di Sanremo,Nilla Pizzi,Enzo Luigi Poletto,NF,,Senza posizione numerica,Non finalista,29-31 gennaio,Casinò di Sanremo,Nunzio Filogamo,3,Nilla Pizzi,,,,,Dati non disponibili,,,72,Sì,Non valutabile,Non valutabile,Senza dati Spotify,No,No
1951,1950,Anni 1950,Oro di Napoli,Duo Fasano,Umberto Bertini,NF,,Senza posizione numerica,Non finalista,29-31 gennaio,Casinò di Sanremo,Nunzio Filogamo,3,Nilla Pizzi,,,,,Dati non disponibili,,,72,Sì,Non valutabile,Non valutabile,Senza dati Spotify,No,No
1951,1950,Anni 1950,Sei fatta per me,Achille Togliani e Duo Fasano,Guido Quattrini,NF,,Senza posizione numerica,Non finalista,29-31 gennaio,Casinò di Sanremo,Nunzio Filogamo,3,Nilla Pizzi,,,,,Dati non disponibili,,,72,Sì,Non valutabile,Non valutabile,Senza dati Spotify,No,No
1951,1950,Anni 1950,Sorrentinella,Duo Fasano,Arrigo Giacomo Camosso,NF,,Senza posizione numerica,Non finalista,29-31 gennaio,Casinò di Sanremo,Nunzio Filogamo,3,Nilla Pizzi,,,,,Dati non disponibili,,,72,Sì,Non valutabile,Non valutabile,Senza dati Spotify,No,No
1951,1950,Anni 1950,Tutto è finito,Nilla Pizzi,Otello Odorici,NF,,Senza posizione numerica,Non finalista,29-31 gennaio,Casinò di Sanremo,Nunzio Filogamo,3,Nilla Pizzi,,,,,Dati non disponibili,,,72,Sì,Non valutabile,Non valutabile,Senza dati Spotify,No,No
1952,1950,Anni 1950,Vola Colomba,Nilla Pizzi,B. Cherubini e C. Concina,1º,1,1º posto,Vincitore,28-30 gennaio,Casinò di Sanremo,Nunzio Filogamo,5,Nilla Pizzi,,,,,Dati non disponibili,,,71,Sì,Non valutabile,Non valutabile,Senza dati Spotify,No,No
1952,1950,Anni 1950,Papaveri e papere,Nilla Pizzi,"N. Rastelli, M. Panzeri e V. Mascheroni",2º,2,2º-3º posto,Podio,28-30 gennaio,Casinò di Sanremo,Nunzio Filogamo,5,Nilla Pizzi,Nilla Pizzi,2014.0,"2,94",33.0,Medio-bassa (21-40),https://i.scdn.co/image/ab67616d0000b273e0667bbe7a439becf11ab1eb,62,71,Sì,Sì,No,Affidabile,Sì,Sì
1952,1950,Anni 1950,Una donna prega,Nilla Pizzi,Pinchi e V. Panzuti,3º,3,2º-3º posto,Podio,28-30 gennaio,Casinò di Sanremo,Nunzio Filogamo,5,Nilla Pizzi,Nilla Pizzi,2021.0,"4,43",1.0,Bassa (0-20),https://i.scdn.co/image/ab67616d0000b27343488440342e819b9c493bd8,69,71,Sì,Sì,Sì,Affidabile,Sì,Sì
1952,1950,Anni 1950,Madonna delle rose,Oscar Carboni,G. Fiorelli e M. Ruccione,4º,4,4º-10º posto,Altra posizione,28-30 gennaio,Casinò di Sanremo,Nunzio Filogamo,5,Nilla Pizzi,Claudio Villa,1959.0,"3,32",13.0,Bassa (0-20),https://i.scdn.co/image/ab67616d0000b2735401622cf2d05b20233daeb0,7,71,Sì,Non valutabile,Non valutabile,Da verificare: artista differente,No,No
1952,1950,Anni 1950,Un disco dall'Italia,Gino Latilla,N. Salerno e G. D'Anzi,5º,5,4º-10º posto,Altra posizione,28-30 gennaio,Casinò di Sanremo,Nunzio Filogamo,5,Nilla Pizzi,Gino Bechi,1970.0,"2,05",0.0,Bassa (0-20),https://i.scdn.co/image/ab67616d0000b273b9247606273a3e20203b5b71,18,71,Sì,Non valutabile,Non valutabile,Da verificare: artista differente,No,No
1952,1950,Anni 1950,L'attesa,Gino Latilla,Biri e N. Ravasini,6º,6,4º-10º posto,Altra posizione,28-30 gennaio,Casinò di Sanremo,Nunzio Filogamo,5,Nilla Pizzi,Daniela Picciau,2022.0,"4,36",18.0,Bassa (0-20),https://i.scdn.co/image/ab67616d0000b273052f11dd63d94080928711fa,70,71,Sì,Non valutabile,Non valutabile,Da verificare: artista differente,No,No
1952,1950,Anni 1950,Perché le donne belle,Oscar Carboni,A. Sopranzi e G. Fassino,7º,7,4º-10º posto,Altra posizione,28-30 gennaio,Casinò di Sanremo,Nunzio Filogamo,5,Nilla Pizzi,Paolo Bellasio,2023.0,"1,77",0.0,Bassa (0-20),https://i.scdn.co/image/ab67616d0000b2735e813a4c1576723878e0bba7,71,71,Sì,Non valutabile,Non valutabile,Da verificare: artista differente,No,No
1952,1950,Anni 1950,Vecchie mura,Achille Togliani,Filibello e P. E. Bassi,8º,8,4º-10º posto,Altra posizione,28-30 gennaio,Casinò di Sanremo,Nunzio Filogamo,5,Nilla Pizzi,Achille Togliani,2012.0,"3,45",0.0,Bassa (0-20),https://i.scdn.co/image/ab67616d0000b273a7ebce0adcd0c18d2703965a,60,71,Sì,Sì,No,Affidabile,Sì,Sì
1952,1950,Anni 1950,Libro di novelle,Achille Togliani,L. Citi e M. Casini,9º,9,4º-10º posto,Altra posizione,28-30 gennaio,Casinò di Sanremo,Nunzio Filogamo,5,Nilla Pizzi,Achille Togliani,2012.0,"3,48",0.0,Bassa (0-20),https://i.scdn.co/image/ab67616d0000b273a7ebce0adcd0c18d2703965a,60,71,Sì,Sì,No,Affidabile,Sì,Sì
1952,1950,Anni 1950,Nel regno dei sogni,Nilla Pizzi e Achille Togliani,A. Papetti e C. A. Rossi,10º,10,4º-10º posto,Altra posizione,28-30 gennaio,Casinò di Sanremo,Nunzio Filogamo,5,Nilla Pizzi,Nilla Pizzi,2006.0,"3,30",5.0,Bassa (0-20),https://i.scdn.co/image/ab67616d0000b27380dd5a807c8303510c5f05b8,54,71,Sì,Sì,No,Affidabile,Sì,Sì
1952,1950,Anni 1950,Al ritmo della carrozzella,Duo Fasano,E. L. Poletto e P. Pavesio,NF,,Senza posizione numerica,Non finalista,28-30 gennaio,Casinò di Sanremo,Nunzio Filogamo,5,Nilla Pizzi,Duo Fasano,2011.0,"2,90",0.0,Bassa (0-20),https://i.scdn.co/image/ab67616d0000b27314129c2b86f8e8c7caa8a8e9,59,71,Sì,Sì,No,Affidabile,Sì,Sì
1952,1950,Anni 1950,Buonanotte (Ai bimbi del mondo),Nilla Pizzi e Duo Fasano,E. Minoretti e A. Zara,NF,,Senza posizione numerica,Non finalista,28-30 gennaio,Casinò di Sanremo,Nunzio Filogamo,5,Nilla Pizzi,Nilla Pizzi,1940.0,"3,40",0.0,Bassa (0-20),https://i.scdn.co/image/ab67616d0000b27330450cc29c0cb5e527ab43bc,-12,71,Sì,Non valutabile,Non valutabile,Da escludere: rilascio precedente,No,No
1952,1950,Anni 1950,Cantate e sorridete,Oscar Carboni,"G. C. Testoni, F. Fabor e C. Donida",NF,,Senza posizione numerica,Non finalista,28-30 gennaio,Casinò di Sanremo,Nunzio Filogamo,5,Nilla Pizzi,Oscar Carboni,2022.0,"2,81",0.0,Bassa (0-20),https://i.scdn.co/image/ab67616d0000b2736d9f068e45bf203435c9b832,70,71,Sì,Sì,Sì,Affidabile,Sì,Sì
1952,1950,Anni 1950,Due gattini,Duo Fasano,"T. Giacobetti, G. Kramer e Trinacria",NF,,Senza posizione numerica,Non finalista,28-30 gennaio,Casinò di Sanremo,Nunzio Filogamo,5,Nilla Pizzi,Duo Fasano,2012.0,"3,55",1.0,Bassa (0-20),https://i.scdn.co/image/ab67616d0000b2737ad2db0dd9818387dd782fb5,60,71,Sì,Sì,No,Affidabile,Sì,Sì
1952,1950,Anni 1950,Il valzer di Nonna Speranza,Nilla Pizzi e Duo Fasano,G. C. Testoni e S. Seracini,NF,,Senza posizione numerica,Non finalista,28-30 gennaio,Casinò di Sanremo,Nunzio Filogamo,5,Nilla Pizzi,Nilla Pizzi,2011.0,"3,52",0.0,Bassa (0-20),https://i.scdn.co/image/ab67616d0000b2731b38698435617b187bf7342a,59,71,Sì,Sì,No,Affidabile,Sì,Sì
1952,1950,Anni 1950,La collanina,Achille Togliani,G. C. Testoni e D. Olivieri,NF,,Senza posizione numerica,Non finalista,28-30 gennaio,Casinò di Sanremo,Nunzio Filogamo,5,Nilla Pizzi,Lucio Battisti,1973.0,"4,93",58.0,Media (41-60),https://i.scdn.co/image/ab67616d0000b2738f4aad012cd312d2bcd77bf3,21,71,Sì,Non valutabile,Non valutabile,Da verificare: artista differente,No,No
1952,1950,Anni 1950,Malinconica tarantella,Gino Latilla,G. C. Testoni e E. Ceragioli,NF,,Senza posizione numerica,Non finalista,28-30 gennaio,Casinò di Sanremo,Nunzio Filogamo,5,Nilla Pizzi,Claudio Villa,2022.0,"3,48",0.0,Bassa (0-20),https://i.scdn.co/image/ab67616d0000b2736d9f068e45bf203435c9b832,70,71,Sì,Non valutabile,Non valutabile,Da verificare: artista differente,No,No
1952,1950,Anni 1950,Ninna nanna ai sogni perduti,Nilla Pizzi,"P. E. Bassi, M. Panzeri e G. C. Testoni",NF,,Senza posizione numerica,Non finalista,28-30 gennaio,Casinò di Sanremo,Nunzio Filogamo,5,Nilla Pizzi,Acqua Curativa,2017.0,"3,72",0.0,Bassa (0-20),https://i.scdn.co/image/ab67616d0000b273a1adc4db387ddf8b667e290e,65,71,Sì,Non valutabile,Non valutabile,Da verificare: artista differente,No,No
1952,1950,Anni 1950,Pura fantasia,Gino Latilla,Aminta e A. Fragna,NF,,Senza posizione numerica,Non finalista,28-30 gennaio,Casinò di Sanremo,Nunzio Filogamo,5,Nilla Pizzi,Julieta Venegas,2022.0,"3,80",33.0,Medio-bassa (21-40),https://i.scdn.co/image/ab67616d0000b27334481981258a4ea645f5ed87,70,71,Sì,Non valutabile,Non valutabile,Da verificare: artista differente,No,No
1952,1950,Anni 1950,Vecchio tram,Duo Fasano,G. L. Callegari,NF,,Senza posizione numerica,Non finalista,28-30 gennaio,Casinò di Sanremo,Nunzio Filogamo,5,Nilla Pizzi,Trattoria Italiana,2022.0,"2,68",42.0,Media (41-60),https://i.scdn.co/image/ab67616d0000b27388ed463b5200a51579e60e3f,70,71,Sì,Non valutabile,Non valutabile,Da verificare: artista differente,No,No
1953,1950,Anni 1950,Viale d'autunno,Carla Boni - Flo Sandon's,G. D'Anzi,1º,1,1º posto,Vincitore,29-31 gennaio,Casinò di Sanremo,Nunzio Filogamo,10,Carla Boni,,,,,Dati non disponibili,,,70,Sì,Non valutabile,Non valutabile,Senza dati Spotify,No,No
1953,1950,Anni 1950,Campanaro,Nilla Pizzi e Doppio Quintetto Vocale - Teddy Reno e Quartetto Stars,B. Cherubini e C. Concina,2º,2,2º-3º posto,Podio,29-31 gennaio,Casinò di Sanremo,Nunzio Filogamo,10,Carla Boni,Nilla Pizzi,2011.0,"4,02",4.0,Bassa (0-20),https://i.scdn.co/image/ab67616d0000b2730900689fd800b02eaa2dc46b,58,70,Sì,Sì,No,Affidabile,Sì,Sì
1953,1950,Anni 1950,Lasciami cantare una canzone,Achille Togliani - Teddy Reno,M. Cozzoli e C. A. Bixio,3º (ex aequo),3,2º-3º posto,Podio,29-31 gennaio,Casinò di Sanremo,Nunzio Filogamo,10,Carla Boni,Achille Togliani,2012.0,"3,45",20.0,Bassa (0-20),https://i.scdn.co/image/ab67616d0000b27305045a074718b94aec202756,59,70,Sì,Sì,No,Affidabile,Sì,Sì
1953,1950,Anni 1950,Vecchio scarpone,Gino Latilla e Doppio Quintetto Vocale - Giorgio Consolini,"Calibi, Pinchi e C. Donida",3º (ex aequo),3,2º-3º posto,Podio,29-31 gennaio,Casinò di Sanremo,Nunzio Filogamo,10,Carla Boni,I Girasoli,2011.0,"3,03",26.0,Medio-bassa (21-40),https://i.scdn.co/image/ab67616d0000b273ee46e283ec669ff27463ec82,58,70,Sì,Non valutabile,Non valutabile,Da verificare: artista differente,No,No
1953,1950,Anni 1950,Vecchia villa comunale,Gino Latilla - Giorgio Consolini,R. Ruocco e N. Oliviero,5º,5,4º-10º posto,Altra posizione,29-31 gennaio,Casinò di Sanremo,Nunzio Filogamo,10,Carla Boni,Gino Latilla,2015.0,"3,95",0.0,Bassa (0-20),https://i.scdn.co/image/ab67616d0000b2734c3955acf532a735b27a3b0d,62,70,Sì,Sì,Sì,Affidabile,Sì,Sì
1953,1950,Anni 1950,No Pierrot,Achille Togliani - Katyna Ranieri,A. Costanzo e R. Salani,6º,6,4º-10º posto,Altra posizione,29-31 gennaio,Casinò di Sanremo,Nunzio Filogamo,10,Carla Boni,Aurelio Fierro,2009.0,"3,66",0.0,Bassa (0-20),https://i.scdn.co/image/ab67616d0000b2739f58a2225cf6604a361daa15,56,70,Sì,Non valutabile,Non valutabile,Da verificare: artista differente,No,No
1953,1950,Anni 1950,Il passerotto,Carla Boni - Quartetto Stars,E. Di Lazzaro e D. Valentini,7º,7,4º-10º posto,Altra posizione,29-31 gennaio,Casinò di Sanremo,Nunzio Filogamo,10,Carla Boni,Ciansunier,2017.0,"2,71",3.0,Bassa (0-20),https://i.scdn.co/image/ab67616d0000b273fe1ca72dd3daadeb0a4d776c,64,70,Sì,Non valutabile,Non valutabile,Da verificare: artista differente,No,No
1953,1950,Anni 1950,Sussurrando buonanotte,Nilla Pizzi e Doppio Quintetto Vocale - Teddy Reno e Quartetto Stars,"Danpa, B. Pallesi e V. Panzuti",8º,8,4º-10º posto,Altra posizione,29-31 gennaio,Casinò di Sanremo,Nunzio Filogamo,10,Carla Boni,Nilla Pizzi,2020.0,"3,78",0.0,Bassa (0-20),https://i.scdn.co/image/ab67616d0000b273406520a2da03e32ba866c097,67,70,Sì,Sì,Sì,Affidabile,Sì,Sì
1953,1950,Anni 1950,Tamburino del reggimento,Gino Latilla e Doppio Quintetto Vocale - Giorgio Consolini,Deani,9º,9,4º-10º posto,Altra posizione,29-31 gennaio,Casinò di Sanremo,Nunzio Filogamo,10,Carla Boni,Luciano Taioli,2017.0,"2,87",3.0,Bassa (0-20),https://i.scdn.co/image/ab67616d0000b273f14345a88d56eee0d5293ccb,64,70,Sì,Non valutabile,Non valutabile,Da verificare: artista differente,No,No
1953,1950,Anni 1950,Papà Pacifico,Nilla Pizzi e Doppio Quintetto Vocale - Teddy Reno e Quartetto Stars,N. Rastelli e A. Fragna,10º,10,4º-10º posto,Altra posizione,29-31 gennaio,Casinò di Sanremo,Nunzio Filogamo,10,Carla Boni,Nilla Pizzi,2011.0,"2,87",0.0,Bassa (0-20),https://i.scdn.co/image/ab67616d0000b273c7de7fc1ddfa416ff484a46c,58,70,Sì,Sì,No,Affidabile,Sì,Sì
1953,1950,Anni 1950,Acque amare,Carla Boni - Katyna Ranieri,N. Salerno e C. A. Rossi,NF,,Senza posizione numerica,Non finalista,29-31 gennaio,Casinò di Sanremo,Nunzio Filogamo,10,Carla Boni,Carla Boni,2014.0,"3,42",20.0,Bassa (0-20),https://i.scdn.co/image/ab67616d0000b273287e559f99792a538f152ea6,61,70,Sì,Sì,No,Affidabile,Sì,Sì
1953,1950,Anni 1950,Buona sera,Carla Boni - Flo Sandon's,M. Evangelisti Tumminelli e C. Di Ceglie,NF,,Senza posizione numerica,Non finalista,29-31 gennaio,Casinò di Sanremo,Nunzio Filogamo,10,Carla Boni,Fred Buscaglione,1987.0,"2,63",46.0,Media (41-60),https://i.scdn.co/image/ab67616d0000b273d7d2cf290e60b8b4a21bd814,34,70,Sì,Non valutabile,Non valutabile,Da verificare: artista differente,No,No
1953,1950,Anni 1950,Canto della solitudine,Nilla Pizzi - Teddy Reno,E. Bonagura e G. Redi,NF,,Senza posizione numerica,Non finalista,29-31 gennaio,Casinò di Sanremo,Nunzio Filogamo,10,Carla Boni,Federico Del Frate,2024.0,"2,82",0.0,Bassa (0-20),https://i.scdn.co/image/ab67616d0000b2737adca09c2a8124b1b162b9bd,71,70,Sì,Non valutabile,Non valutabile,Da verificare: artista differente,No,No
1953,1950,Anni 1950,Domandatelo,Katyna Ranieri - Achille Togliani,V. Baselice e G. Fiorelli,NF,,Senza posizione numerica,Non finalista,29-31 gennaio,Casinò di Sanremo,Nunzio Filogamo,10,Carla Boni,Giacomo Puccini,1964.0,"2,50",3.0,Bassa (0-20),https://i.scdn.co/image/ab67616d0000b2737e9c861e1bf00fd5c4a45b21,11,70,Sì,Non valutabile,Non valutabile,Da verificare: artista differente,No,No
1953,1950,Anni 1950,Innamorami,Gino Latilla - Teddy Reno,"M. Ruccione, E. Ceragioli e U. Bertini",NF,,Senza posizione numerica,Non finalista,29-31 gennaio,Casinò di Sanremo,Nunzio Filogamo,10,Carla Boni,Lady Paradise,2022.0,"1,00",0.0,Bassa (0-20),https://i.scdn.co/image/ab67616d0000b273ab8e7b6a9ac5730a6b675972,69,70,Sì,Non valutabile,Non valutabile,Da verificare: artista differente,No,No
1953,1950,Anni 1950,La mamma che piange di più,Achille Togliani - Giorgio Consolini,G. Pisano e F. Rendine,NF,,Senza posizione numerica,Non finalista,29-31 gennaio,Casinò di Sanremo,Nunzio Filogamo,10,Carla Boni,Giorgio Consolini,2012.0,"3,49",0.0,Bassa (0-20),https://i.scdn.co/image/ab67616d0000b273f367e64244a07abc2e3fb254,59,70,Sì,Sì,No,Affidabile,Sì,Sì
1953,1950,Anni 1950,La pianola stonata,Achille Togliani - Katyna Ranieri,M. Gigante e E. De Mura,NF,,Senza posizione numerica,Non finalista,29-31 gennaio,Casinò di Sanremo,Nunzio Filogamo,10,Carla Boni,Achille Togliani,2012.0,"3,21",0.0,Bassa (0-20),https://i.scdn.co/image/ab67616d0000b273f367e64244a07abc2e3fb254,59,70,Sì,Sì,No,Affidabile,Sì,Sì
1953,1950,Anni 1950,L'altra,Nilla Pizzi - Flo Sandon's,V. Mascheroni e Biri,NF,,Senza posizione numerica,Non finalista,29-31 gennaio,Casinò di Sanremo,Nunzio Filogamo,10,Carla Boni,Måneskin,2018.0,"2,11",67.0,Alta (61-100),https://i.scdn.co/image/ab67616d0000b273dbc892b8194e35ca3524e767,65,70,Sì,Non valutabile,Non valutabile,Da verificare: artista differente,No,No
1953,1950,Anni 1950,Povero amico mio,Gino Latilla - Giorgio Consolini,M. Rivi e C. Innocenzi,NF,,Senza posizione numerica,Non finalista,29-31 gennaio,Casinò di Sanremo,Nunzio Filogamo,10,Carla Boni,Carlo Buti,1935.0,"3,52",2.0,Bassa (0-20),https://i.scdn.co/image/ab67616d0000b273d9511574d69493c0ed37778c,-18,70,Sì,Non valutabile,Non valutabile,Da escludere: rilascio precedente,No,No
1953,1950,Anni 1950,Qualcuno cammina,Carla Boni - Flo Sandon's,N. Rastelli e N. Casiroli,NF,,Senza posizione numerica,Non finalista,29-31 gennaio,Casinò di Sanremo,Nunzio Filogamo,10,Carla Boni,Rosita Brucoli,2023.0,"3,45",2.0,Bassa (0-20),https://i.scdn.co/image/ab67616d0000b273c60b693aef270790927ca5e8,70,70,Sì,Non valutabile,Non valutabile,Da verificare: artista differente,No,No
1954,1950,Anni 1950,Tutte le mamme,Giorgio Consolini - Gino Latilla,U. Bertini e E. Falcocchio,1º,1,1º posto,Vincitore,28-30 gennaio,Casinò di Sanremo,Nunzio Filogamo,12,Gino Latilla,,,,,Dati non disponibili,,,69,Sì,Non valutabile,Non valutabile,Senza dati Spotify,No,No
1954,1950,Anni 1950,Canzone da due soldi,Katyna Ranieri - Achille Togliani,Pinchi e C. Donida,2º,2,2º-3º posto,Podio,28-30 gennaio,Casinò di Sanremo,Nunzio Filogamo,12,Gino Latilla,Nilla Pizzi,2011.0,"2,77",19.0,Bassa (0-20),https://i.scdn.co/image/ab67616d0000b2730900689fd800b02eaa2dc46b,57,69,Sì,Non valutabile,Non valutabile,Da verificare: artista differente,No,No
1954,1950,Anni 1950,...e la barca tornò sola,Gino Latilla - Franco Ricci,M. Ruccione,3º,3,2º-3º posto,Podio,28-30 gennaio,Casinò di Sanremo,Nunzio Filogamo,12,Gino Latilla,Renato Carosone,1995.0,"2,28",20.0,Bassa (0-20),https://i.scdn.co/image/ab67616d0000b2739c1b381e0c777a799ef89cda,41,69,Sì,Non valutabile,Non valutabile,Da verificare: artista differente,No,No
1954,1950,Anni 1950,Notturno (Per chi non ha nessuno),Natalino Otto - Vittoria Mongardi,F. S. Mangieri,4º,4,4º-10º posto,Altra posizione,28-30 gennaio,Casinò di Sanremo,Nunzio Filogamo,12,Gino Latilla,Vittoria Mongardi,2013.0,"3,85",0.0,Bassa (0-20),https://i.scdn.co/image/ab67616d0000b27360ffaeb8c89e89f0a26cc3e2,59,69,Sì,Sì,No,Affidabile,Sì,Sì
1954,1950,Anni 1950,Non è mai troppo tardi,Flo Sandon's - Carla Boni,D. Olivieri,5º,5,4º-10º posto,Altra posizione,28-30 gennaio,Casinò di Sanremo,Nunzio Filogamo,12,Gino Latilla,Federico Rossi,2021.0,"2,70",52.0,Media (41-60),https://i.scdn.co/image/ab67616d0000b27312db6954bd91fff68c5e1bde,67,69,Sì,Non valutabile,Non valutabile,Da verificare: artista differente,No,No
1954,1950,Anni 1950,Aveva un bavero,Quartetto Cetra - Vittoria Mongardi e Duo Fasano,M. Panzeri e V. Ripa,6º,6,4º-10º posto,Altra posizione,28-30 gennaio,Casinò di Sanremo,Nunzio Filogamo,12,Gino Latilla,Quartetto Cetra,2014.0,"3,78",14.0,Bassa (0-20),https://i.scdn.co/image/ab67616d0000b273e0667bbe7a439becf11ab1eb,60,69,Sì,Sì,No,Affidabile,Sì,Sì
1954,1950,Anni 1950,Sotto l'ombrello,Gino Latilla e Duo Fasano - Katyna Ranieri e Giorgio Consolini,N. Casiroli,7º,7,4º-10º posto,Altra posizione,28-30 gennaio,Casinò di Sanremo,Nunzio Filogamo,12,Gino Latilla,Matteo Tarantino,2008.0,"4,18",2.0,Bassa (0-20),https://i.scdn.co/image/ab67616d0000b27329c864350d6cda6f841af653,54,69,Sì,Non valutabile,Non valutabile,Da verificare: artista differente,No,No
1954,1950,Anni 1950,Mogliettina,Achille Togliani - Natalino Otto,S. Seracini,8º,8,4º-10º posto,Altra posizione,28-30 gennaio,Casinò di Sanremo,Nunzio Filogamo,12,Gino Latilla,Renzo Arbore,2009.0,"5,47",25.0,Medio-bassa (21-40),https://i.scdn.co/image/ab67616d0000b2739191514606627b367ad3c1b3,55,69,Sì,Non valutabile,Non valutabile,Da verificare: artista differente,No,No
